﻿Sampling date,Announcement date,Sampling point,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Type of sample,131I Radioactivity concentration (Bq/kg),131I Detection limit (Bq/kg),134Cs Radioactivity concentration (Bq/kg),134Cs Detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs Detection limit (Bq/kg),134Cs+137Cs Radioactivity concentration (Bq/kg),134Cs+137Cs Detection limit (Bq/kg),134Cs+137CsExceeded reference value ,89SrRadioactivity concenteration(Bq/kg),89SrDetectedLower Limit (Bq/kg),90SrRadioactivity concenteration(Bq/kg),90SrDetectedLower Limit (Bq/kg),238PuRadioactivity concenteration(Bq/kg),238PuDetectedLower Limit (Bq/kg),239Pu+240PuRadioactivity concenteration(Bq/kg),239Pu+240PuDetectedLower Limit (Bq/kg),241Am Radioactivity concentration (Bq/kg),241Am DetectedLower Limit (Bq/Kg),Remarks
2011-04-06,2011-06-28,,35.600000,140.883333,203.0,Japanese sardine,4.9E+00,,4.4E+00,,4.1E+00,,,,,,,ND,4.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-04-08,2011-06-28,,36.383333,140.650000,120.4,Japanese sandlance,6.0E+02,,3.8E+01,,4.3E+01,,,,,,,ND,2.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-04-12,2011-06-28,,36.383333,140.650000,120.4,Japanese sandlance,4.0E+02,,3.3E+01,,3.3E+01,,,,,,,ND,3.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-04-14,2011-06-28,,35.366666,140.900000,228.8,Anchovy,ND,,3.8E+00,,4.1E+00,,,,,,,ND,4.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-04-21,2011-08-30,,37.633333,141.550000,51.4,Pacific cod,ND,,1.6E+01,,1.8E+01,,,,,ND,4.0E-02,ND,3.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-04-22,2011-08-30,,36.466666,141.000000,106.2,Flathead flounder,ND,,1.5E+00,,1.8E+00,,,,,ND,3.0E-02,ND,3.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-05-26,2011-08-30,,35.350000,140.500000,235.2,Anchovy,ND,,7.2E+00,,1.0E+01,,,,,ND,3.0E-02,ND,3.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-06-22,2011-08-30,,36.050000,140.783333,154.1,Japanese sardine,ND,,8.2E+00,,1.1E+01,,,,,ND,3.0E-02,ND,3.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-07-01,2011-08-30,,35.750000,141.300000,187.4,Blue mackerel,ND,,1.1E+00,,3.4E+00,,,,,ND,4.0E-02,ND,3.0E-02,,,,,,,"Portion measured - whole body for Sr, and muscle for Cs, and Pu"
2011-10-28,2012-11-15,,36.000000,141.000000,158.1,Chub mackerel,ND,,1.1E+01,,1.5E+01,,,,,,,ND,2.5E-02,,,,,,,"Portion measured - whole body for Sr, and Cs"
