Announced date,Prefecture,City,Survey type,Number of samples,134Cs + 137Cs Radioactivity concentration (Bq/kg),134Cs + 137Cs Detection limit (Bq/kg)
2011/8/29,Fukushima prefecture,Fukushima city,This study (early shipment rice),,2.1E+01,
2011/9/2,Fukushima prefecture,Fukushima city,This study (early shipment rice),,4.1E+01,
2011/9/16,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.4E+02,
2011/9/16,Fukushima prefecture,Fukushima city,Preliminary investigation,,3.7E+01,
2011/9/16,Fukushima prefecture,Fukushima city,Preliminary investigation,2,ND,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,4.6E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,2,5.3E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,2.9E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.6E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.4E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.9E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.1E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,6.5E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.0E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.9E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,2.0E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,9.8E+00,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,7.7E+00,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,8.2E+00,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.2E+01,
2011/9/24,Fukushima prefecture,Fukushima city,Preliminary investigation,11,ND,
2011/9/29,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.5E+01,
2011/9/29,Fukushima prefecture,Fukushima city,Preliminary investigation,,2.2E+01,
2011/9/29,Fukushima prefecture,Fukushima city,Preliminary investigation,,9.3E+00,
2011/9/29,Fukushima prefecture,Fukushima city,Preliminary investigation,,1.2E+02,
2011/9/29,Fukushima prefecture,Fukushima city,Preliminary investigation,,ND,
2011/10/1,Fukushima prefecture,Fukushima city,This survey,,1.6E+01,
2011/10/1,Fukushima prefecture,Fukushima city,This survey,,1.9E+01,
2011/10/1,Fukushima prefecture,Fukushima city,This survey,,3.6E+01,
2011/10/1,Fukushima prefecture,Fukushima city,This survey,,1.1E+01,
2011/10/1,Fukushima prefecture,Fukushima city,This survey,,7.6E+00,
2011/10/1,Fukushima prefecture,Fukushima city,This survey,,1.0E+02,
2011/10/1,Fukushima prefecture,Fukushima city,This survey,,8.2E+01,
2011/10/1,Fukushima prefecture,Fukushima city,This survey,13,ND,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,,2.1E+01,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,,1.2E+01,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,,3.3E+01,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,,2.8E+01,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,,8.3E+00,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,,1.1E+01,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,,1.1E+01,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,,2.8E+01,
2011/10/5,Fukushima prefecture,Fukushima city,This survey,8,ND,
2011/10/7,Fukushima prefecture,Fukushima city,This survey,,2.2E+01,
2011/10/7,Fukushima prefecture,Fukushima city,This survey,,4.1E+01,
2011/10/7,Fukushima prefecture,Fukushima city,This survey,,2.6E+01,
2011/10/7,Fukushima prefecture,Fukushima city,This survey,,1.8E+01,
2011/10/7,Fukushima prefecture,Fukushima city,This survey,,2.7E+01,
2011/10/7,Fukushima prefecture,Fukushima city,This survey,,1.5E+01,
2011/10/7,Fukushima prefecture,Fukushima city,This survey,,2.2E+01,
2011/10/7,Fukushima prefecture,Fukushima city,This survey,,8.4E+00,
