Reported by,Origin (prefectures),Origin (district),Origin (municipality),Origin (Other),Food category,Item,Day of collection,Result found Date,134Cs Radioactivity concentration (Bq/kg),134Cs detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs detection limit (Bq/kg),134Cs + 137Cs Radioactivity concentration (Bq/kg),134Cs + 137Cs detection limit (Bq/kg),134Cs + 137Cs  exceeded reference value, Remarks
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Tanagura town,E422,Wild birds and animals,Wild boar,2011-05-22,2011-10-13,,,,,2.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Tanagura town,E324,Wild birds and animals,Wild boar,2011-06-07,2011-10-13,,,,,4.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B012,Wild birds and animals,Black bear,2011-08-12,2011-10-13,,,,,5.0E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B233,Wild birds and animals,Black bear,2011-08-15,2011-10-13,,,,,6.8E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Adachi county Otama village,B224,Wild birds and animals,Black bear,2011-08-28,2011-10-13,,,,,2.0E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B424,Wild birds and animals,Black bear,2011-08-31,2011-10-13,,,,,6.4E+02,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B112,Wild birds and animals,Black bear,2011-09-05,2011-10-13,,,,,2.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B242,Wild birds and animals,Wild boar,2011-09-05,2011-11-17,,,,,1.5E+04,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Onuma county Mishima town,A153,Wild birds and animals,Black bear,2011-09-08,2011-10-29,,,,,1.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2011-09-10,2011-11-17,,,,,2.6E+03,,Exceeded reference value,"Over 500 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012. Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
