date,origin_district,origin_municplty,item,Cesium_134_Plus_Cesium_137C
2011-05-22,Kennan,Higashishirakawa county Tanagura town,Wild boar,240
2011-06-07,Kennan,Higashishirakawa county Tanagura town,Wild boar,440
2011-08-12,Kenchu,Koriyama city,Black bear,500
2011-08-15,Kempoku,Nihommatsu city,Black bear,680
2011-08-28,Kempoku,Adachi county Otama village,Black bear,200
2011-08-31,Kempoku,Fukushima city,Black bear,640
2011-09-05,Kenchu,Koriyama city,Black bear,240
2011-09-05,Kempoku,Nihommatsu city,Wild boar,15000
2011-09-08,Aizu,Onuma county Mishima town,Black bear,140
2011-09-10,Kempoku,Nihommatsu city,Wild boar,2600
2011-09-13,Kenchu,Ishikawa county Hirata village,Wild boar,170
2011-09-15,Kempoku,Nihommatsu city,Wild boar,620
2011-09-21,Kempoku,Nihommatsu city,Wild boar,880
2011-09-22,Kempoku,Nihommatsu city,Wild boar,1600
2011-09-25,Kempoku,Nihommatsu city,Wild boar,700
2011-09-26,Kennan,Higashishirakawa county Tanagura town,Wild boar,770
2011-10-01,Kennan,Higashishirakawa county Samegawa village,Wild boar,380
2011-10-02,Minamiaizu,Minamiaizu county Hinoemata village,Japanese sika deer,460
2011-10-02,Iwaki,Iwaki city,Wild boar,1100
2011-10-05,Kennan,Nishishirakawa county Nishigo village,Wild boar,980
2011-10-07,Soso,Minamisoma city,Wild boar,2300
2011-10-07,Kempoku,Date city,Wild boar,1000
2011-10-07,Kempoku,Date city,Wild boar,1100
2011-10-07,Iwaki,Iwaki city,Wild boar,310
2011-10-07,Kempoku,Nihommatsu city,Wild boar,1000
2011-10-08,Minamiaizu,Minamiaizu county Shimogo town,Black bear,43
2011-10-10,Iwaki,Iwaki city,Wild boar,650
2011-10-13,Kempoku,Date city,Wild boar,1300
2011-10-14,Kenchu,Sukagawa city,Wild boar,150
2011-10-17,Soso,Minamisoma city,Wild boar,4100
2011-10-17,Kennan,Higashishirakawa county Samegawa village,Wild boar,580
2011-10-19,Kempoku,Date county Kawamata town,Wild boar,1000
2011-10-19,Soso,Soma city,Wild boar,360
2011-10-19,Soso,Soma city,Ducks,59
2011-10-19,Soso,Soma city,Pheasant,170
2011-10-20,Kennan,Higashishirakawa county Tanagura town,Ducks,14
2011-10-20,Kempoku,Fukushima city,Copper pheasant,77
2011-10-21,Kenchu,Ishikawa county Hirata village,Wild boar,270
2011-10-21,Kenchu,Ishikawa county Tamakawa village,Ducks,15
2011-10-21,Kempoku,Date city,Copper pheasant,400
2011-10-22,Kenchu,Sukagawa city,Wild boar,150
2011-10-22,Kennan,Higashishirakawa county Tanagura town,Wild boar,770
2011-10-22,Kempoku,Nihommatsu city,Wild boar,1600
2011-10-24,Iwaki,Iwaki city,Pheasant,18
2011-10-24,Kennan,Nishishirakawa county Nishigo village,Ducks,100
2011-10-24,Kennan,Nishishirakawa county Nishigo village,Ducks,170
2011-10-24,Kempoku,Nihommatsu city,Wild boar,690
2011-10-25,Kennan,Higashishirakawa county Hanawa town,Wild boar,310
2011-10-25,Soso,Soma city,Wild boar,1000
2011-10-25,Kennan,Nishishirakawa county Nishigo village,Pheasant,160
2011-10-25,Kenchu,Koriyama city,Pheasant,42
2011-10-25,Kenchu,Koriyama city,Pheasant,43
2011-10-25,Soso,Minamisoma city,Wild boar,3700
2011-10-26,Aizu,Kitakata city,Black bear,85
2011-10-26,Kempoku,Date city,Ducks,39
2011-10-26,Soso,Soma city,Ducks,64
2011-10-27,Kempoku,Date county Kawamata town,Wild boar,870
2011-10-27,Soso,Soma city,Pheasant,180
2011-10-27,Soso,Soma city,Pheasant,310
2011-10-29,Soso,Soma city,Wild boar,5700
2011-10-29,Aizu,Aizuwakamatsu city,Copper pheasant,29
2011-10-29,Iwaki,Iwaki city,Ducks,84
2011-10-31,Kempoku,Nihommatsu city,Wild boar,740
2011-10-31,Kempoku,Nihommatsu city,Wild boar,1000
2011-10-31,Soso,Minamisoma city,Wild boar,1700
2011-10-31,Soso,Minamisoma city,Pheasant,35
2011-11-01,Kenchu,Tamura county Ono town,Copper pheasant,47
2011-11-04,Kennan,Shirakawa city,Wild boar,1100
2011-11-07,Kennan,Shirakawa city,Wild boar,140
2011-11-08,Kempoku,Nihommatsu city,Wild boar,820
2011-11-09,Soso,Soma city,Wild boar,390
2011-11-09,Iwaki,Iwaki city,Ducks,58
2011-11-13,Kenchu,Koriyama city,Copper pheasant,120
2011-11-15,Kennan,Shirakawa city,Wild boar,940
2011-11-15,Kempoku,Date city,Ducks,65
2011-11-15,Kempoku,Nihommatsu city,Pheasant,79
2011-11-15,Kempoku,Nihommatsu city,Pheasant,230
2011-11-16,Kempoku,Date county Kawamata town,Ducks,87
2011-11-16,Kempoku,Nihommatsu city,Pheasant,230
2011-11-16,Kempoku,Nihommatsu city,Pheasant,86
2011-11-17,Kempoku,Nihommatsu city,Wild boar,530
2011-11-17,Soso,Minamisoma city,Ducks,97
2011-11-17,Kempoku,Fukushima city,Wild boar,790
2011-11-18,Kennan,Shirakawa city,Wild boar,1300
2011-11-19,Kennan,Shirakawa city,Pheasant,34
2011-11-20,Kenchu,Koriyama city,Wild boar,320
2011-11-20,Kennan,Shirakawa city,Ducks,70
2011-11-20,Iwaki,Iwaki city,Copper pheasant,740
2011-11-21,Kennan,Nishishirakawa county Nishigo village,Black bear,740
2011-11-21,Iwaki,Iwaki city,Wild boar,190
2011-11-21,Kempoku,Nihommatsu city,Pheasant,130
2011-11-22,Soso,Soma city,Wild boar,680
2011-11-23,Kenchu,Sukagawa city,Wild boar,650
2011-11-23,Kennan,Shirakawa city,Wild boar,910
2011-11-23,Iwaki,Iwaki city,Pheasant,43
2011-11-23,Minamiaizu,Minamiaizu county Minamiaizu town,Japanese sika deer,24
2011-11-24,Kennan,Shirakawa city,Wild boar,1100
2011-11-25,Kempoku,Nihommatsu city,Wild boar,670
2011-11-26,Aizu,Yama county Inawashiro town,Black bear,150
2011-11-26,Kenchu,Sukagawa city,Black bear,140
2011-11-26,Minamiaizu,Minamiaizu county Shimogo town,Black bear,52
2011-11-27,Iwaki,Iwaki city,Pheasant,140
2011-11-27,Minamiaizu,Minamiaizu county Minamiaizu town,Black bear,130
2011-11-27,Kennan,Shirakawa city,Japanese sika deer,440
2011-11-27,Aizu,Kitakata city,Copper pheasant,46
2011-11-28,Kennan,Shirakawa city,Wild boar,1300
2011-11-28,Kempoku,Date city,Wild boar,460
2011-11-28,Aizu,Yama county Nishiaizu town,Black bear,30
2011-11-29,Kenchu,Koriyama city,Ducks,92
2011-11-29,Kenchu,Sukagawa city,Ducks,18
2011-11-29,Soso,Minamisoma city,Ducks,270
2011-11-29,Kempoku,Fukushima city,Black bear,410
2011-11-30,Kenchu,Koriyama city,Wild boar,86
2011-11-30,Kennan,Nishishirakawa county Nishigo village,Wild boar,360
2011-11-30,Kennan,Higashishirakawa county Yamatsuri town,Wild boar,160
2011-11-30,Kempoku,Date county Kawamata town,Wild boar,1100
2011-11-30,Kenchu,Tamura city,Pheasant,140
2011-11-30,Kennan,Nishishirakawa county Nishigo village,Japanese sika deer,210
2011-12-01,Iwaki,Iwaki city,Pheasant,97
2011-12-01,Iwaki,Iwaki city,Copper pheasant,290
2011-12-02,Kennan,Shirakawa city,Wild boar,1000
2011-12-02,Kempoku,Date county Kawamata town,Wild boar,710
2011-12-02,Kempoku,Date county Kawamata town,Wild boar,910
2011-12-03,Kenchu,Koriyama city,Wild boar,220
2011-12-03,Kempoku,Nihommatsu city,Wild boar,3400
2011-12-03,Kempoku,Fukushima city,Pheasant,71
2011-12-04,Kempoku,Nihommatsu city,Wild boar,870
2011-12-04,Iwaki,Iwaki city,Wild boar,1400
2011-12-05,Kennan,Nishishirakawa county Nishigo village,Black bear,1900
2011-12-06,Kenchu,Ishikawa county Hirata village,Wild boar,13000
2011-12-07,Kempoku,Nihommatsu city,Wild boar,470
2011-12-07,Kempoku,Nihommatsu city,Wild boar,480
2011-12-07,Kempoku,Fukushima city,Copper pheasant,480
2011-12-08,Kempoku,Nihommatsu city,Wild boar,630
2011-12-10,Kempoku,Date city,Pheasant,60
2011-12-10,Kempoku,Fukushima city,Copper pheasant,300
2011-12-11,Soso,Minamisoma city,Wild boar,570
2011-12-11,Iwaki,Iwaki city,Pheasant,59
2011-12-11,Iwaki,Iwaki city,Pheasant,65
2011-12-12,Kempoku,Fukushima city,Ducks,410
2011-12-13,Kempoku,Nihommatsu city,Wild boar,2000
2011-12-17,Iwaki,Iwaki city,Wild boar,740
2011-12-17,Kempoku,Nihommatsu city,Wild boar,550
2011-12-18,Kenchu,Koriyama city,Japanese sika deer,140
2011-12-20,Soso,Soma city,Wild boar,1700
2011-12-20,Kenchu,Koriyama city,Japanese sika deer,230
2011-12-21,Kenchu,Koriyama city,Wild boar,290
2011-12-21,Kennan,Higashishirakawa county Yamatsuri town,Wild boar,930
2011-12-22,Aizu,Yama county Bandai town,Black bear,140
2011-12-23,Kempoku,Nihommatsu city,Wild boar,410
2011-12-25,Kempoku,Date city,Wild boar,760
2011-12-25,Iwaki,Iwaki city,Ducks,63
2011-12-25,Iwaki,Iwaki city,Ducks,82
2011-12-25,Kennan,Nishishirakawa county Nishigo village,Black bear,1100
2011-12-26,Kennan,Nishishirakawa county Nishigo village,Japanese sika deer,570
2011-12-28,Kenchu,Koriyama city,Wild boar,490
2011-12-28,Kempoku,Date county Kawamata town,Wild boar,550
2011-12-29,Kempoku,Date county Kawamata town,Wild boar,1100
2011-12-29,Kenchu,Koriyama city,Wild boar,250
2011-12-31,Kempoku,Date county Kawamata town,Wild boar,1300
2011-12-31,Kempoku,Date county Kawamata town,Wild boar,890
2011-12-31,Kempoku,Nihommatsu city,Wild boar,2300
2012-01-01,Iwaki,Iwaki city,Copper pheasant,200
2012-01-02,Kempoku,Adachi county Otama village,Wild boar,450
2012-01-03,Kenchu,Koriyama city,Ducks,55
2012-01-03,Iwaki,Iwaki city,Pheasant,87
2012-01-03,Kenchu,Sukagawa city,Wild boar,110
2012-01-04,Iwaki,Iwaki city,Pheasant,120
2012-01-05,Kempoku,Date county Kawamata town,Wild boar,650
2012-01-06,Iwaki,Iwaki city,Wild boar,430
2012-01-06,Kempoku,Date county Kawamata town,Wild boar,950
2012-01-07,Kenchu,Koriyama city,Wild boar,510
2012-01-07,Soso,Futaba county Kawauchi village,Wild boar,1300
2012-01-10,Kempoku,Date county Kawamata town,Hare,2000
2012-01-11,Soso,Soma city,Wild boar,510
2012-01-12,Kempoku,Nihommatsu city,Wild boar,620
2012-01-14,Kennan,Higashishirakawa county Yamatsuri town,Wild boar,1200
2012-01-15,Kenchu,Sukagawa city,Wild boar,170
2012-01-15,Aizu,Kitakata city,Ducks,14
2012-01-15,Kempoku,Nihommatsu city,Wild boar,800
2012-01-16,Soso,Soma city,Wild boar,1900
2012-01-16,Soso,Soma city,Wild boar,380
2012-01-17,Kempoku,Nihommatsu city,Wild boar,110
2012-01-19,Aizu,Yama county Nishiaizu town,Wild boar,120
2012-01-19,Kennan,Nishishirakawa county Nishigo village,Wild boar,1400
2012-01-20,Kempoku,Nihommatsu city,Wild boar,840
2012-01-21,Kempoku,Nihommatsu city,Wild boar,440
2012-01-21,Iwaki,Iwaki city,Pheasant,340
2012-01-22,Kenchu,Koriyama city,Wild boar,100
2012-01-22,Kempoku,Fukushima city,Wild boar,630
2012-01-22,Iwaki,Iwaki city,Pheasant,84
2012-01-23,Kenchu,Koriyama city,Wild boar,290
2012-01-23,Kempoku,Nihommatsu city,Wild boar,1700
2012-01-23,Kempoku,Nihommatsu city,Wild boar,270
2012-01-24,Soso,Soma city,Wild boar,370
2012-01-25,Kempoku,Nihommatsu city,Wild boar,630
2012-01-25,Kempoku,Nihommatsu city,Wild boar,640
2012-01-25,Kempoku,Nihommatsu city,Wild boar,330
2012-01-25,Kenchu,Sukagawa city,Black bear,210
2012-01-27,Kempoku,Nihommatsu city,Wild boar,580
2012-01-28,Kempoku,Nihommatsu city,Wild boar,1100
2012-01-28,Kempoku,Nihommatsu city,Wild boar,860
2012-01-29,Kenchu,Tamura city,Wild boar,600
2012-01-29,Kempoku,Nihommatsu city,Wild boar,680
2012-01-31,Kempoku,Nihommatsu city,Wild boar,750
2012-01-31,Kempoku,Date county Kawamata town,Ducks,150
2012-02-02,Kennan,Higashishirakawa county Yamatsuri town,Wild boar,730
2012-02-04,Kenchu,Koriyama city,Wild boar,170
2012-02-04,Kennan,Nishishirakawa county Nishigo village,Wild boar,660
2012-02-04,Kempoku,Date county Kawamata town,Wild boar,880
2012-02-04,Kempoku,Nihommatsu city,Wild boar,850
2012-02-07,Iwaki,Iwaki city,Pheasant,40
2012-02-07,Kenchu,Koriyama city,Pheasant,26
2012-02-10,Kempoku,Nihommatsu city,Wild boar,950
2012-02-11,Kenchu,Koriyama city,Japanese sika deer,160
2012-02-11,Kempoku,Nihommatsu city,Wild boar,1200
2012-02-13,Aizu,Yama county Inawashiro town,Japanese sika deer,120
2012-02-14,Kempoku,Date county Kawamata town,Wild boar,510
2012-02-15,Iwaki,Iwaki city,Pheasant,120
