Sampling starting date,Sampling starting time,Sampling ending date,Sampling ending time,Measurement date,Measurement time,Correction base date,Prefecture,City,Sampling coordinate North latitude,Sampling coordinate East longitude,Sampling coordinate North latitude (Decimal),Sampling coordinate East longitude (Decimal),Distance from TEPCO Fukushima Dai-ichi NPP (km),Air dose rate at a height of 1 m above the ground (µSv/h),131I Radioactivity concentration (Bq/m3),131I Detection limit (Bq/m3),134Cs Radioactivity concentration (Bq/m3),134Cs Detection limit (Bq/m3),137Cs Radioactivity concentration (Bq/m3),137Cs Detection limit (Bq/m3),132I Radioactivity concentration (Bq/m3),132I Detection limit (Bq/m3),132Te Radioactivity concentration (Bq/m3),132Te Detection limit (Bq/m3)
2011-04-02,12:55,2011-04-02,13:14,,,2011-04-02,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,,6.8E+00,,1.8E+00,,3.3E+00,,ND,,ND,
2011-04-18,15:49,2011-04-18,15:57,,,2011-04-18,Fukushima prefecture,Futaba county Futaba town,,,,,Around 4,,3.1E+02,,1.2E+02,,1.1E+02,,ND,,ND,
2011-04-18,15:22,2011-04-18,15:30,,,2011-04-18,Fukushima prefecture,Futaba county Okuma town,,,,,Around 4,,1.5E+01,,1.0E+01,,8.7E+00,,ND,,ND,
2011-04-18,13:03,2011-04-18,13:13,,,2011-04-18,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,,1.0E+01,,5.4E+00,,6.8E+00,,ND,,ND,
2011-04-18,12:39,2011-04-18,12:49,,,2011-04-18,Fukushima prefecture,Futaba county Namie town,,,,,Around 9,,8.4E+00,,6.1E+00,,6.1E+00,,ND,,ND,
2011-04-18,12:24,2011-04-18,12:42,,,2011-04-18,Fukushima prefecture,Futaba county Okuma town,,,,,Around 6,,1.3E+01,,7.2E+00,,6.9E+00,,ND,,ND,
2011-04-18,12:04,2011-04-18,12:18,,,2011-04-18,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 8,,1.1E+01,,6.5E+00,,7.4E+00,,ND,,ND,
2011-04-18,12:51,2011-04-18,13:05,,,2011-04-18,Fukushima prefecture,Futaba county Tomioka town,,,,,Around 9,,9.0E+00,,9.5E+00,,9.5E+00,,ND,,ND,
2011-04-18,14:40,2011-04-18,14:51,,,2011-04-18,Fukushima prefecture,Minamisoma city,,,,,Around 16,,5.2E+00,,6.3E+00,,6.2E+00,,ND,,ND,
2011-04-18,12:27,2011-04-18,12:38,,,2011-04-18,Fukushima prefecture,Futaba county Namie town,,,,,Around 20,,1.1E+01,,6.3E+00,,5.9E+00,,ND,,ND,
2011-04-18,13:08,2011-04-18,13:28,,,2011-04-18,Fukushima prefecture,Futaba county Naraha town,,,,,Around 16,,1.0E+01,,8.0E+00,,6.3E+00,,ND,,ND,
2011-04-18,13:59,2011-04-18,14:19,,,2011-04-18,Fukushima prefecture,Futaba county Naraha town,,,,,Around 18,,7.3E+00,,7.1E+00,,8.3E+00,,ND,,ND,
2011-08-05,13:55,2011-08-05,14:15,2011-08-06,12:31,2011-08-06,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,,ND,,6.6E-01,,9.4E-01,,ND,,ND,
2011-08-05,13:10,2011-08-05,13:30,2011-08-06,13:33,2011-08-06,Fukushima prefecture,Futaba county Namie town,"37°28'12.0""","140°57'00.0""",37.470000,140.950000,9.1,,ND,,ND,,7.3E-01,,ND,,ND,
2011-08-05,10:40,2011-08-05,11:00,2011-08-06,14:36,2011-08-06,Fukushima prefecture,Futaba county Okuma town,"37°24'36.0""","140°54'36.0""",37.410000,140.910000,11,,ND,,3.8E-01,,7.7E-01,,ND,,ND,
2011-08-05,10:28,2011-08-05,10:48,2011-08-06,15:38,2011-08-06,Fukushima prefecture,Futaba county Okuma town,"37°23'24.0""","140°57'36.0""",37.390000,140.960000,7.5,,ND,,ND,,6.7E-01,,ND,,ND,
2011-08-05,11:40,2011-08-05,12:00,2011-08-06,16:40,2011-08-06,Fukushima prefecture,Futaba county Naraha town,"37°18'00.0""","140°59'24.0""",37.300000,140.990000,14,,ND,,4.1E-01,,8.7E-01,,ND,,ND,
2011-09-14,13:00,2011-09-14,13:20,2011-09-15,13:09,2011-09-15,Fukushima prefecture,Minamisoma city,"37°31'12.0""","141°00'00.0""",37.520000,141.000000,11,5.0E-01,ND,Around 0.33,ND,Around 0.29,7.5E-01,,ND,Around 0.34,ND,Around 0.24
