date,origin_municplty,food_categ,item,Iodine_131,Cesium_134,Cesium_137
2011-03-19,Date city,meatChickenMilk,Raw milk,300,5.5,7.1
2011-03-19,Date county Kunimi town,meatChickenMilk,Raw milk,1400,13,23
2011-03-19,Soma county Shinchi town,meatChickenMilk,Raw milk,370,12,9.6
2011-03-19,Date county Kawamata town,meatChickenMilk,Raw milk,130,5.4,4.2
2011-03-19,Minamisoma city,meatChickenMilk,Raw milk,140,24,26
2011-03-19,Soma county Iitate village,meatChickenMilk,Raw milk,5200,210,210
2011-03-20,Date county Kawamata town,meatChickenMilk,Raw milk,1200,9.5,8.7
2011-03-20,Date county Kawamata town,meatChickenMilk,Raw milk,5300,9,11
2011-03-21,Fukushima city,Vegetables,Chive,240,110,100
2011-03-21,Shirakawa city,Vegetables,Rape,2600,1700,1700
2011-03-21,Ishikawa county Tamakawa village,Vegetables,Rape,8200,4300,4600
2011-03-21,Sukagawa city,Root,Turnip,990,420,410
2011-03-21,Ishikawa county Ishikawa town,Vegetables,Cabbage,900,200,170
2011-03-21,Ishikawa county Asakawa town,Vegetables,Cabbage,280,140,130
2011-03-21,Minamisoma city,Vegetables,Cabbage,5200,1200,1400
2011-03-21,Adachi county Otama village,Vegetables,Kukitachina,8000,8200,8200
2011-03-21,Nihommatsu city,Vegetables,Purple-stem mustard,5400,5400,5400
2011-03-21,Ishikawa county Furudono town,Vegetables,Komatsuna,840,68,53
2011-03-21,Higashishirakawa county Samegawa village,Vegetables,Komatsuna,5900,1700,1700
2011-03-21,Higashishirakawa county Yamatsuri town,Vegetables,Komatsuna,2300,160,150
2011-03-21,Nishishirakawa county Nishigo village,Vegetables,Shantung vegetable,4900,12000,12000
2011-03-21,Higashishirakawa county Tanagura town,Vegetables,Chijirena,3700,4400,4600
2011-03-21,Date city,Vegetables,Broccoli,1100,750,770
2011-03-21,Iwase county Kagamiishi town,Vegetables,Broccoli,3300,950,900
2011-03-21,Date county Kori town,Vegetables,Broccoli,1400,3300,3200
2011-03-21,Date county Kunimi town,Vegetables,Broccoli,720,380,360
2011-03-21,Tamura county Miharu town,Vegetables,Broccoli,380,500,520
2011-03-21,Soma county Iitate village,Vegetables,Broccoli,17000,7000,6900
2011-03-21,Nishishirakawa county Izumizaki village,Vegetables,Spinach,4600,3300,3200
2011-03-21,Nishishirakawa county Nakajima village,Vegetables,Spinach,6100,3300,3300
2011-03-21,Tamura county Ono town,Vegetables,Spinach,8600,4200,4200
2011-03-21,Tamura city,Vegetables,Spinach,19000,20000,20000
2011-03-21,Nihommatsu city,Vegetables,Spinach,2000,77,82
2011-03-21,Higashishirakawa county Hanawa town,Vegetables,Spinach,3200,1500,1600
2011-03-21,Ishikawa county Hirata village,Vegetables,Spinach,16000,1000,1100
2011-03-21,Nishishirakawa county Yabuki town,Vegetables,Spinach,2100,650,640
2011-03-21,Iwaki city,Vegetables,Broccoli (autumn-winter),8100,870,910
2011-03-22,Date city,meatChickenMilk,Raw milk,200,7.6,9.6
2011-03-22,Koriyama city,meatChickenMilk,Raw milk,39,9.9,NA
2011-03-22,Date county Kunimi town,meatChickenMilk,Raw milk,140,8.3,5.6
2011-03-22,Soma county Shinchi town,meatChickenMilk,Raw milk,39,7.2,6.5
2011-03-22,Nishishirakawa county Nishigo village,meatChickenMilk,Raw milk,87,5.8,4.7
2011-03-22,Date county Kawamata town,meatChickenMilk,Raw milk,2600,24,30
2011-03-22,Soma city,meatChickenMilk,Raw milk,500,32,27
2011-03-22,Nihommatsu city,meatChickenMilk,Raw milk,73,11,11
2011-03-22,Soma county Iitate village,meatChickenMilk,Raw milk,1000,25,28
2011-03-22,Motomiya city,meatChickenMilk,Raw milk,310,9.2,5.6
2011-03-24,Motomiya city,Vegetables,Asparagus,11,11,NA
2011-03-24,Iwaki city,Vegetables,Strawberry,1400,110,110
2011-03-24,Nishishirakawa county Izumizaki village,Vegetables,Cucumber,14,9.7,NA
2011-03-24,Nihommatsu city,Vegetables,Cucumber,36,12,15
2011-03-24,Higashishirakawa county Samegawa village,Vegetables,Komatsuna,1200,68,68
2011-03-24,Tamura county Ono town,Vegetables,Komatsuna,390,26,16
2011-03-24,Ishikawa county Hirata village,Vegetables,Tenderstem broccoli,540,39,34
2011-03-24,Date county Kunimi town,Vegetables,Chinese chive,150,21,NA
2011-03-24,Iwase county Tenei village,Vegetables,Chinese chive,250,13,17
2011-03-24,Nishishirakawa county Nakajima village,Vegetables,Potherb mustard,260,46,58
2011-03-24,Nishishirakawa county Nishigo village,Vegetables,Rocket lettuce,61,26,26
2011-03-24,Date city,Vegetables,"Flowered wasabi, hanawasabi",2500,330,340
2011-03-25,Iwaki city,Mountain herbs/Mushrooms,Mushroom bed Nameko,40,13,20
2011-03-25,Sukagawa city,Mountain herbs/Mushrooms,Were seeded bacteria floor,63,22,16
2011-03-25,Iwaki city,Mountain herbs/Mushrooms,Raw wood shiitake,68,33,33
2011-03-25,Koriyama city,Mountain herbs/Mushrooms,Raw wood shiitake,18,7.4,5.9
2011-03-27,Ishikawa county Asakawa town,meatChickenMilk,Chicken egg,22,6.5,4.9
2011-03-28,Fukushima city,Vegetables,Chive,250,120,110
2011-03-28,Ishikawa county Tamakawa village,Vegetables,Rape,2100,660,620
2011-03-28,Shirakawa city,Vegetables,Rape,550,710,680
2011-03-28,Sukagawa city,Root,Turnip,330,220,200
2011-03-28,Ishikawa county Asakawa town,Vegetables,Cabbage,1100,1300,1400
2011-03-28,Minamisoma city,Vegetables,Cabbage,140,42,51
2011-03-28,Motomiya city,Vegetables,Kukitachina,3000,9300,9400
2011-03-28,Nihommatsu city,Vegetables,Purple-stem mustard,2400,4500,4500
2011-03-28,Higashishirakawa county Samegawa village,Vegetables,Komatsuna,2000,1800,1800
2011-03-28,Yama county Bandai town,Vegetables,Komatsuna,47,19,18
2011-03-28,Nishishirakawa county Nishigo village,Vegetables,Shantung vegetable,2100,7700,8000
2011-03-28,Date county Kawamata town,Vegetables,Shinobufuyuna,3600,5200,5300
2011-03-28,Date city,Vegetables,Broccoli,420,520,540
2011-03-28,Iwase county Kagamiishi town,Vegetables,Broccoli,4400,2100,2100
2011-03-28,Date county Kori town,Vegetables,Broccoli,400,630,630
2011-03-28,Date county Kunimi town,Vegetables,Broccoli,340,700,710
2011-03-28,Tamura county Miharu town,Vegetables,Broccoli,130,220,190
2011-03-28,Soma county Iitate village,Vegetables,Broccoli,4400,5200,5400
2011-03-28,Tamura county Ono town,Vegetables,Spinach,5100,2300,2300
2011-03-28,Nishishirakawa county Izumizaki village,Vegetables,Spinach,3500,4800,4700
2011-03-28,Adachi county Otama village,Vegetables,Spinach,5900,17000,17000
2011-03-28,Higashishirakawa county Tanagura town,Vegetables,Spinach,2700,3200,3100
2011-03-28,Nishishirakawa county Nakajima village,Vegetables,Spinach,2300,1000,1100
2011-03-28,Tamura city,Vegetables,Spinach,8400,8200,8400
2011-03-28,Higashishirakawa county Hanawa town,Vegetables,Spinach,2100,790,830
2011-03-28,Ishikawa county Hirata village,Vegetables,Spinach,5300,460,460
2011-03-28,Higashishirakawa county Yamatsuri town,Vegetables,Spinach,2000,410,400
2011-03-28,Nishishirakawa county Yabuki town,Vegetables,Spinach,1600,290,320
2011-03-28,Ishikawa county Furudono town,Vegetables,Potherb mustard,4900,1600,1700
2011-03-28,Iwaki city,Vegetables,Broccoli (winter-spring),2300,330,360
2011-03-29,Date county Kawamata town,meatChickenMilk,Raw milk,150,7.6,6.4
2011-03-29,Soma city,meatChickenMilk,Raw milk,130,11,12
2011-03-29,Adachi county Otama village,meatChickenMilk,Raw milk,36,5.1,5.8
2011-03-29,Soma county Iitate village,meatChickenMilk,Raw milk,200,11,13
2011-03-30,Soma city,Vegetables,Strawberry,170,20,29
2011-03-30,Soma county Shinchi town,Vegetables,Chinese chive,360,16,18
2011-03-30,Sukagawa city,Vegetables,Japanese honeywort,92,30,21
2011-03-31,Iwaki city,Vegetables,Strawberry,300,170,170
2011-03-31,Tamura county Miharu town,Vegetables,Strawberry,6,6,NA
2011-03-31,Koriyama city,Vegetables,Perilla,130,44,43
2011-03-31,Higashishirakawa county Samegawa village,Vegetables,Komatsuna,300,35,46
2011-03-31,Tamura county Ono town,Vegetables,Komatsuna,240,110,110
2011-03-31,Ishikawa county Hirata village,Vegetables,Tenderstem broccoli,320,70,67
2011-03-31,Date county Kunimi town,Vegetables,Chinese chive,220,12,13
2011-03-31,Ishikawa county Ishikawa town,Vegetables,Chinese chive,410,67,60
